,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
'm',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.219999999986252,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15000000000000002,0.2,0.0
'e',0.0,0.27999999999999986,4.279999999991454,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.25,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'u',0.0,0.0,0.0,0.0,0.0,0.27999999999999997,4.179999999991894,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3099999999999959,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'n',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.0,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.149999999986556,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.25,0.0,0.0
'x',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.15000000000000002,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.229999999986869,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.27999999999999603,0.2,0.0,0.0,0.0,0.0,0.0,0.0
'y',0.0,0.0,0.0,0.0,0.15000000000000002,4.1599999999914266,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'g',0.0,0.0,0.0,0.2799999999999999,0.27999999999999997,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.259999999986292,0.3099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.2,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'<',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.27999999999999986,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2999999999999997,3.729999999999986,4.2199999999932185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2999999999999995,0.2799999999999999
'z',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.27999999999999997,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999983,4.09999999998658,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'l',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2799999999999999,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.229999999986422,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.2799999999999999,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'b',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.15000000000000002,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.6299999999862758,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.27999999999999997,0.0,0.0,0.0
'r',0.0,0.0,0.27999999999999986,4.28999999999149,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2799999999999999,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'h',0.0,0.0,0.0,0.0,0.2,0.27999999999999986,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.259999999986458,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'å',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,4.279999999994836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999986,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'p',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,4.2899999999916965,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30999999999999683,0.3,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'v',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.2999999999999997,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.289999999986422,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.27999999999999997,0.15000000000000002,0.0,0.0,0.0,0.0
'ö',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.27999999999999997,0.27999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999986,4.1099999999864965,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15000000000000002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'f',0.0,0.0,0.29,0.15000000000000002,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,4.26999999998643,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.2799999999999999,0.31999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'd',0.0,0.2,0.25,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,4.149999999986367,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'>',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.2799999999999997,0.27999999999999936,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.089999999993483,4.259999999999702,4.099999999999982
'j',0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.27999999999999997,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,3.849999999986367,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2799999999999999,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'k',0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.2,0.27999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.9399999999865543,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.27999999999999986,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
's',0.27999999999999986,0.27999999999999997,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.049999999986345,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.2799999999999998,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'o',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,4.2899999999914,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'a',0.27999999999999997,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.289999999991457,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'c',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,4.249999999986456,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.15000000000000002,0.0,0.0,0.0,0.0,0.0
'ä',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.27999999999999914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.069999999991446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'i',0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,4.279999999991583,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'q',4.269999999994853,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'w',0.2,4.279999999991387,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
't',0.0,0.0,0.0,0.2,4.289999999991421,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.30999999999999983,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32999999999999996,0.27999999999999964,0.28999999999999915,0.2799999999999995,0.2799999999999997,0.27999999999999964,0.32999999999999996,0.0,0.0,0.0,0.0,0.2799999999999999,4.309999999993186,3.849999999999985,3.7999999999999874,4.059999999999982,3.6699999999999906,0.2799999999999999,0.0,0.0
